"","Date","Per_Capita_Credit_NFC","Per_Capita_Credit_Producers","Credit_Ratio","Per_Capita_Baddebts_NFC","Per_Capita_Baddebts_Producers","Baddebt_Ratio"
"1",1996-03-31,688.928161993116,113.680394518296,6.06021966155509,811.520702541575,138.429167705382,5.86235340422423
"2",1996-06-30,870.672383654469,158.013012851865,5.51013089327466,1290.66932,248.43557367387,5.19518723069147
"3",1996-09-30,867.436942201648,156.450658880542,5.54447612051273,1232.19251519916,259.424186111111,4.74972104054868
"4",1996-12-31,852.236497787599,155.115298406616,5.49421305662299,1057.94726593033,238.115145695364,4.44300702855681
"5",1997-03-31,850.491623797538,155.212579064501,5.47952768341091,1372.51444858919,253.578392230576,5.41258439457719
"6",1997-06-30,842.470423624407,149.433510299132,5.6377610479602,1064.00786249429,239.26895819582,4.44691141933881
"7",1997-09-30,850.746983083748,148.12163407933,5.74357006234559,1396.45518506835,233.700804521277,5.97539742290965
"8",1997-12-31,837.737270740982,146.536286084785,5.71692713882673,1241.44143359508,281.83765645933,4.40481037626789
"9",1998-03-31,903.676247200576,149.540774608083,6.04300900252079,960.456889718805,226.354759708738,4.24314863515428
"10",1998-06-30,904.942888547317,149.617518958154,6.04837518259087,1016.38694786096,259.206207807118,3.92115202972794
"11",1998-09-30,917.592650503166,149.082484588987,6.15493264036299,938.737558014031,222.603434782609,4.21708478546519
"12",1998-12-31,907.850788455082,148.379706361647,6.11842960682488,1413.82321660079,247.625312312312,5.70952623299526
"13",1999-03-31,931.990020006379,149.307509644489,6.24208401992309,961.78710208031,227.921363157895,4.21981989206524
"14",1999-06-30,922.367941573451,149.804279555285,6.15715348260829,945.100130994671,207.192635103926,4.56145620485312
"15",1999-09-30,946.109792370243,149.309714402424,6.33655885122292,1030.04458016529,214.122625984252,4.81053590404335
"16",1999-12-31,934.961500250244,150.114581152178,6.22831901520901,1298.14597043121,218.125069354839,5.95138364549666
"17",2000-03-31,961.097105965041,152.031254232799,6.32170740690827,949.376673,185.56821595092,5.11605216515685
"18",2000-06-30,965.33031305298,153.089292890404,6.30566837710887,1169.79506355715,197.247218942189,5.93060358382037
"19",2000-09-30,1004.27516481411,152.912384794607,6.56765092090517,871.98158546754,218.709908408408,3.98693224195057
"20",2000-12-31,1031.43695172654,154.628732840611,6.67040939144044,972.592148501362,226.285959446093,4.29806670675499
"21",2001-03-31,1069.36998715527,156.889106349636,6.81608820418749,843.054477761119,184.830924278846,4.56121983402107
"22",2001-06-30,1087.74689887058,158.031153674243,6.88311686386091,992.728539292731,214.120100591716,4.63631642498462
"23",2001-09-30,1106.40650803404,157.619080684702,7.01949601043083,853.977057912844,199.358373655914,4.28362773156838
"24",2001-12-31,1109.31133920558,165.40466619006,6.70665081437854,841.740952657807,205.110369811321,4.10384396182464
"25",2002-03-31,1138.43333251336,159.639683869434,7.13126777076596,1002.51907760314,217.843262485482,4.60202012293107
"26",2002-06-30,1104.79295262088,156.588101503301,7.05540805472752,866.160002633889,208.227546432063,4.15968020310169
"27",2002-09-30,1109.86042646326,157.218100192569,7.05936800599832,1126.07632375577,196.79042965368,5.72221080942549
"28",2002-12-31,1103.01917995703,158.763369909959,6.94756719123932,888.397686460808,220.108510655738,4.03618053574635
"29",2003-03-31,1113.25017200479,160.421214212553,6.93954460742186,994.538599797878,192.082832093518,5.17765481151213
"30",2003-06-30,1117.86490047009,161.328569691456,6.92911926640169,1170.80601794527,182.097604912999,6.42955198946546
"31",2003-09-30,1128.95427004805,161.950269693219,6.97099345488354,1212.15273631124,214.992700106724,5.63811113451536
"32",2003-12-31,1131.19446721426,162.774964218377,6.94943766472996,1843.9203513091,202.906125111707,9.0875539133871
"33",2004-03-31,1139.32605583288,164.393120607972,6.93049716204262,819.226345813204,192.86641509434,4.24763609264207
"34",2004-06-30,1121.04628676431,164.740964341959,6.80490302604585,935.017172441258,197.132737476809,4.74308420006218
"35",2004-09-30,1131.4244347326,165.510080867941,6.83598502761501,769.655193905817,204.46919047619,3.76416218068531
"36",2004-12-31,1124.72478683448,166.919181494662,6.73813983967115,892.312031053459,202.479795125666,4.40691887553352
"37",2005-03-31,1143.43407253992,168.614675386006,6.7813437348931,842.419718077803,197.227941509434,4.27130005835156
"38",2005-06-30,1150.04750329403,167.037521357745,6.8849650901546,744.855838539554,206.33050533224,3.61001315505996
"39",2005-09-30,1165.7140060186,167.772176058293,6.94819625879781,843.289762619372,210.539024034335,4.00538459075334
"40",2005-12-31,1153.68063294269,168.294723320495,6.85512064894425,849.126410171972,203.324386428571,4.1762152837986
"41",2006-03-31,1172.06647916465,170.166756441407,6.88775236524075,844.201359419121,196.452783701447,4.29722268889846
"42",2006-06-30,1173.03422765699,171.562235723358,6.83736850776702,820.509204064703,185.254467614534,4.42909266713053
"43",2006-09-30,1198.62903315489,173.016482948423,6.9278314570306,971.297560747664,199.004213899614,4.88078891252839
"44",2006-12-31,1206.102942737,175.163679110361,6.88557667241678,763.122076078431,208.879684819605,3.65340495767928
"45",2007-03-31,1237.4919230191,178.237140121872,6.94295208155246,724.182973629134,195.609628461538,3.70218469982691
"46",2007-06-30,1246.36384935452,178.900213476208,6.96681029684893,935.083632901453,214.778884563758,4.35370373954925
"47",2007-09-30,1275.57923034272,179.62454735116,7.10136364518716,931.160366436782,200.066850196078,4.65424614584667
"48",2007-12-31,1286.23947545719,181.13919469665,7.1008346791606,830.269522638146,196.828913639071,4.21822946277409
"49",2008-03-31,1331.23434898404,184.349285581657,7.22126123127488,1010.54575345912,212.403306525038,4.75767430362482
"50",2008-06-30,1344.07146936822,185.75149148998,7.23585828887261,1078.12435069034,241.945552269601,4.45606187250335
"51",2008-09-30,1373.42674868925,188.08266886166,7.30225042531401,1194.81199139697,221.338358245329,5.3981243959199
"52",2008-12-31,1387.80330828686,189.293122280988,7.33150413265831,1509.54738915974,264.395725760184,5.70942432907917
"53",2009-03-31,1406.1992373074,191.310076820862,7.35036680072072,1369.58522024706,256.009416666667,5.34974548233244
"54",2009-06-30,1057.67128775745,132.737596609133,7.96813649468081,1074.89506377642,165.044319505737,6.51276618907845
"55",2009-09-30,1055.95250815353,133.010273080841,7.93887933386725,1224.20528294949,170.29586388269,7.18869651345607
"56",2009-12-31,1042.70693690048,133.465112220591,7.8125805279892,1050.12847945638,166.839670916335,6.29423729793254
"57",2010-03-31,1039.88101799367,134.405959059727,7.73686691623229,951.102883975946,167.953008125363,5.6629106831241
"58",2010-06-30,1033.34286430763,133.774807509293,7.72449524351466,916.19449254465,162.767551528266,5.62885221250959
"59",2010-09-30,1044.59596900687,134.85184129204,7.74624920949097,1101.77332648871,165.853003816794,6.64307128079367
"60",2010-12-31,1046.43686646604,136.582029377087,7.66159992817908,1033.93958580986,171.845847407005,6.01666901709326
"61",2011-03-31,1055.04126983028,137.924464058638,7.64941359048333,1050.15440382018,167.174273045137,6.2817943496404
"62",2011-06-30,1065.67053905507,138.457636887067,7.69672632737684,944.088278542076,165.907064564565,5.69046460450558
"63",2011-09-30,1080.93375549106,139.532144657953,7.74684398452299,1064.21931989518,188.365582213692,5.6497546281458
"64",2011-12-31,1089.09324367319,140.318650369944,7.76157154306891,1114.57566879738,172.123118684844,6.47545592546557
"65",2012-03-31,1086.02084669819,139.115770390045,7.80659765354613,1078.66244289646,170.551215733737,6.3245661325596
"66",2012-06-30,1077.9511435367,139.960408124267,7.70182909569407,1157.93875084828,164.9438450907,7.02019981534654
"67",2012-09-30,1086.46872040669,140.353561615338,7.74094157570677,1188.97320942852,171.180961295872,6.94570938513124
"68",2012-12-31,1076.75388764039,140.241038096455,7.67788018582565,1330.58272201787,180.148469422287,7.38603401008555
"69",2013-03-31,1070.18297858159,140.494780661109,7.61724366944993,1392.31634517844,173.603943135662,8.02007327731269
"70",2013-06-30,1060.42531022751,139.84338370574,7.58294945479058,1432.74659756772,201.173937967322,7.12192947080674
